artist_name,artist_id
Sacred Spirit,248xMFw1QPTbCwdaqGr972
Michèle Torr,0eaTYkUQnI2gRaYwT0nWNF
Joe Dassin,64LCTpIu9Iji2EPaxxPpxF
Demon,4LiDDSfUo671okhAa6OSHY
Chicane,5GxyeQagayzZOg4UwffQlD
Apocalyptica,4Lm0pUvmisUHMdoky5ch2I
Enigma,3DmG65yHQsMms7WAvrZOdt
Children Of Bodom,1xUhNgw4eJDZfvumIpcz1B
The Smashing Pumpkins,40Yq4vzPs9VNUrIBG5Jr2i
Soulfly,6159IBm5gLPwG4BcJXseXc
Kirari,143Gb59VQ1Lpy7mBzHouTc
Vanessa Paradis,1FmxE030Xe2H8Bn9bdv6Pd
Kyo,5ylOD196qui8JgXBrQUzok
Fabe,5Jh4UFOCWwleD3kcd88xyh
Barry White,3rfgbfpPSfXY40lzRK7Syt
Eros Ramazzotti,61J0BktHv7PuP3tjTPYXSX
Ryuichi Sakamoto,1tcgfoMTT1szjUeaikxRjA
Bi-2,3SXDCIdqI1AR686ukKtKCq
Roch Voisine,77xlFule9mFzOWT9Uk80xY
The Pointer Sisters,2kreKea2n96dXjcyAU9j5N
JAY-Z,3nFkdlSjzX9mRTtwJOzDYB
Pit Baccardi,5Gf71JW8QjF77ELQ94JX38
Alain Le Lait,5F3OokVRFhIat4o4TbO3E5
Lévon Minassian,36fU1D7VBlwnCf293gMzhT
Oscar Peterson,6zkX5fhrSD4tdVOmimR9wB
Manu Dibango,30UIjoCGuL3Fa5BOc3ayNW
Jean-Luc Guanel,03pggGo35YEyQybfvPnAcd
Nana Mouskouri,6p7iFdv6Wn9iaS7AwVLvod
Rahim,0kNkaqcfKNJYFYRd5E9Pwz
Roger Hodgson,3lHXm91pKLq9Sxi6CoRKWu
Spandau Ballet,2urZrEdsq72kx0UzfYN8Yv
Lifehouse,5PokPZn11xzZXyXSfnvIM3
Mýa,6lHL3ubAMgSasKjNqKb8HF
Graeme Allwright,0IacSUFvqg5bMJZFfEwsIO
Black Rob,1QPZhx0asYTBxD5RDqfU49
Marcel Ponseele,48A9jtqbkwtMgfT4drxqFh
Culture,4DbtUTi2WsBNdruAZL2pNz
Niccolò Paganini,39FC9x5PaTNYHp5hwlaY4q
Musa Eroğlu,295s7rUdwD6adgPiYMRUAM
Calvin Russell,0CxkJJXf9zMpnszEvhSNmL
PowerThoughts Meditation Club,06SaL19JfXGCw4nKilKfoL
Philip' Métura,311c9INLuEFTHTIl1aUJuT
Bow Wow,7352aRY2mqSxBZwzUb6LmA
Tabou Combo,5zOZ2RzZBQkptkPfg9nUoh
Sidney Bechet,1RsmXc1ZqW3WBs9iwxiSwk
Emmanuel Music,4khkeTO8Uk7Zp870J76uDH
Omara Portuondo,1h4iSQAKdvAAm07l6FX6dy
A.R. Rahman,1mYsTxnqsietFxj1OgoGbG
Exo,1k2oAkKtKxfFmoTFd1Feji
Rhapsody,0zQfrabOFYf36Ikb6PXcCY
Fatboy Slim,4Y7tXHSEejGu1vQ9bwDdXW
The Cure,7bu3H8JO7d0UbMoVzbo70s
Mirwais,0Ohm3LvFp7wzkvMeiTDPKQ
Within Temptation,3hE8S8ohRErocpkY7uJW4a
Mudvayne,2Pfv2w8a20xzC7Dr7QXRqM
Groove Armada,67tgMwUfnmqzYsNAtnP6YJ
Godsmack,6gZq1Q6bdOxsUPUG1TaFbF
Mala Fe,4oVcPiYDvfGxamTzwvnKtp
Benjamin Diamond,2XOvFG8pp1XAV1V6ZJABim
Maki Otsuki,10C2C3ecEhGKdHskghO52u
Goldfinger,7sVQKNtdP2NylxMgbNOJMM
The Underdog Project,06XDzzi31mBGSsaAABTZLb
Calogero,5Nq9MbzweBc5oL4WzsECx4
Common,2GHclqNVjqGuiE5mA7BEoc
Les Enfoirés,1OCpqnXexjxrakYtmur3rN
B2K,51d3rUlLuMh7EW09aMe7yj
Patrick Bruel,0vmrFTWCwK3gFGDzeUzeMg
Dj Cream,5fg9tVnXFPgRQCaQRYj5m8
Drupi,7hmcMqYh4ypnXk0ptFTG3g
Prodigy,1GwxXgEc6oxCKQ5wykWXFs
Angelo Vaillant,74bRwhf4d7zOxajSWM2IBE
Moloko,4aaBjq7VqqQvpSF69GglvO
Chanté Moore,77OlE8SkEHDkJczfswzDFo
Next,2MGT7CYlixSPxAnnkhLpaA
Ruff Endz,7liFhc0PDIx8etigqd2WhW
Cologne Chamber Orchestra,16WKM2I7sY0uccRe5tlRc6
Afu-Ra,6SWohEYYTym0RIBxvoh6wt
Zizi Jeanmaire,6LCt6VzzsEbg69Kx6DDVCu
Broadcast,0WtTGUjbur1R1cNzBvbsMU
Musique De La Garde Républicaine,1Tg31ZxM3hk1bv3sQPC8AD
Jedi Mind Tricks,0PI3pXpUMScjweiw3IbADc
LES GARAGISTES,2D0ibNoUhA8CYiiFWckB4s
J.B. Mpiana,6ZZMaIylugRJgjP7CAg7DX
La Mosca Tse-Tse,60nua3AsVSfADZtg5Hdz3W
Cheb Akil,5zhdzKcrjPbWWcFIwfhSqw
Patty Pravo,2Yi5fknmHBqqKjHF6cXQyh
