année,rang,artiste,titre,id_spotify
1998,59,DION CELINE,S'IL SUFFISAIT D'AIMER,no id
1998,60,PILLS,ROCK ME,no id
1998,61,MANAU,PANIQUE CELTIQUE,no id
1998,62,RUN DMC VS JASON NEVINS,IT'S LIKE THAT,no id
1998,63,PAIGE JENNIFER,CRUSH,no id
1998,64,THE RAPSODY,PRINCE IGOR,no id
1998,65,KHALED & TAHA & FAUDEL,ABDEL KADER,no id
1998,66,2 BE 3,DON'T SAY GOODBYE,no id
1998,67,DION CELINE & THE BEE GEES,IMMORTALITY,no id
1998,68,FAUDEL,DIS MOI,no id
1998,69,PASSI,JE ZAPPE ET JE MATE,no id
1998,70,4 THE CAUSE,STAND BY ME,no id
1998,71,SMITH WILL,GET JIGGY WIT IT,no id
1998,72,QUEEN,WE ARE THE CHAMPIONS,no id
1998,73,GALA,COME INTO MY LIFE,no id
1998,74,DJ VISAGE,FORMULA,no id
1998,75,666,DIABLO,no id
1998,76,PAGNY FLORENT,CHANTER,no id
1998,77,DJ FRED AND ARNOLD T,POP HERTZ,no id
1998,78,SPICE GIRLS,VIVA FOREVER,no id
1998,79,DJ FRED AND ARNOLD T,WALL STREET,no id
1998,80,HALLYDAY JOHNNY,CE QUE JE SAIS,no id
1998,81,NEK,LAURA NON C'E,no id
1998,82,PELLETIER BRUNO,LE TEMPS DES CATHEDRALES,no id
1998,83,MATMATAH,LAMBE AN DRO,no id
1998,84,FABIAN LARA,HUMANA,no id
1998,85,SASH,MYSTERIOUS TIMES,no id
1998,86,CAREY MARIAH & HOUSTON WHITNEY,WHEN YOU BELIEVE,no id
1998,87,OMEGA,DREAMING OF A BETTER WORLD,no id
1998,88,NOA,VIVRE,no id
1998,89,NIGEL ET MARVIN,FOLLOW DE LEADER,no id
1998,90,HANSON,I WILL COME TO YOU,no id
1998,91,BLACK ATTACK,BANG BANG,no id
1998,92,KDD,UNE PRINCESSE EST MORTE,no id
1998,93,MADONNA,RAY OF LIGHT,no id
1998,94,LES MINIKEUMS,ON VA LA GAGNER,no id
1998,95,YOUSSOU N'DOUR & RED AXELLE,LA COUR DES GRANDS,no id
1998,96,SPICE GIRLS,STOP,no id
1998,97,ALLIAGE & BOYZONE,TE GARDER PRES DE MOI,no id
1998,98,DABATCHA'ZZ,LE GRAND PARDON,no id
1998,99,DAHO ETIENNE,LE PREMIER JOUR,no id
1998,100,BAMBI CRUZ,OUVRE LES YEUX,no id
1999,1,BEGA LOU,MAMBO N 5,no id
1999,2,LARUSSO,TU M'OUBLIERAS,no id
1999,3,MOOS,AU NOM DE LA ROSE,no id
1999,4,EIFFEL 65,BLUE,no id
1999,5,ZEBDA,TOMBER LA CHEMISE,no id
1999,6,HALLYDAY DAVID,TU NE M'AS PAS LAISSE LE TEMPS,no id
